,date,tweet,user_id,username,Sentiments
0,2019-12-30 23:59:59,it feels so strange to know i started the decade being obsessed with one direction and feeling at home while investing my time on those babies,1210277334638637062,youkillmyangel,-1
1,2019-12-30 23:59:59,immatrip94 Oh I know dont worry Hate dallas I live in the midwest so all I here is Bla bla dallas good and its terrible 😂,1103038160911556613,trahl1904,-1
2,2019-12-30 23:59:59,ClactonOnSea Live Weather 0000 AM Temp 42C RH 94 Wind00mph NW Rain  00 Pressure 10313mb Falling slowly Clacton Essex,92112055,Shantelle_JJR,-1
3,2019-12-30 23:59:59,Got an absolutely incredible present today from Moogletart honoring Snapples who we lost in 2019 and welcoming Fizzgig Feeling very grateful for the amazing people in my life   My reaction   httpstcoSxTqYJyNmg  httpstcog67DISDYHH,231931886,BogOtter,1
4,2019-12-30 23:59:59,Sieh dir meine Übertragung von meiner PlayStation 4 an PS4live Fortnite  live at  httpstcoHxQj5aVVNW,900098335805190145,NadelTV_Youtube,1
5,2019-12-30 23:59:58,mydearbbh Yeahhhh live stream is real 😭,807901742394318850,nvjydblood,1
6,2019-12-30 23:59:58,kerstynbethke I would loveeee to live in NYC,1053050662173532166,brooklynn_l2,1
7,2019-12-30 23:59:57,Ok you all know I don’t approve of having phones out when watching poetic cinema but TrixieDelights and I are about to watch Cats and I’m gonna have to live tweet it  If only so you know we haven’t lost our minds,824676225444708353,jkbruleigh,1
8,2019-12-30 23:59:57,真ちゃんはLIVEではあまり泣かないって言ってたけど、オーラスでは涙拭ってたよ。  きっと、これはメッセージだったんだよね  httpstcoIfpItCnZcJ,2568477956,19_as_,0
9,2019-12-30 23:59:57,ohlivia What a Feeling podia ser a junção de gerações A pegada Fleetwood Mac podia chamar atenção dos mais velhos e mesmo assim nada Coloca injustiçado nisso,132699857,PortalTracklist,0
10,2019-12-30 23:59:57,If Americans middle class poor or homeless made a list of their needs and priorities for 2020 and beyond who by their consistent voting record could help them live a more hopeful and rewarding life Many already know the answer Bernie Thats what his goal has always been,394604391,jollyswagman1,1
11,2019-12-30 23:59:57,kitthendery se um dia rolar espero que passemos malchoremos juntas kkkk Aff deixa ele fazer live Depois reclamam que o idol não tem rede social e quando tem não aproveitam o fato de ele querer se aproximar e compartilhar um pouco do dia a dia dele É muito fofo da parte do Ten fazer isso,52500720,abeemilk,1
12,2019-12-30 23:59:56,1RealMir Im stuck in PA and live in WV help me get home please blackrose2222,744685652,Mystikstorm1754,1
13,2019-12-30 23:59:55,I’m feeling ignorant today,433712437,besoindecou,0
14,2019-12-30 23:59:55,shouta0811aoi 充実した1年になったみたいで良かったですଘ੭ˊ꒳​ˋ੭✧ 私は今年だけで2回もLIVEに行けたので満足してます😍😍 来年はもっとしょーたんに会いに行きますね😘 来年も充実した1年を過ごしてください´³ ㄘゅ💕,1104693800935387136,star_shouta,0
